Year,Charges,Table,Title,Statute
2013,4,1.0,Violating pistol permitting requirements,CGS  29-28
2014,3,1.0,Violating pistol permitting requirements,CGS  29-28
2015,5,1.0,Violating pistol permitting requirements,CGS  29-28
2016,7,1.0,Violating pistol permitting requirements,CGS  29-28
2017,10,1.0,Violating pistol permitting requirements,CGS  29-28
2013,1,1.0,Failing to surrender revoked permit to carry a pistol or revolver,CGS  29-32
2013,100,1.0,Illegally transferring a pistol or revolver,CGS  29-33
2014,75,1.0,Illegally transferring a pistol or revolver,CGS  29-33
2015,116,1.0,Illegally transferring a pistol or revolver,CGS  29-33
2016,77,1.0,Illegally transferring a pistol or revolver,CGS  29-33
2017,79,1.0,Illegally transferring a pistol or revolver,CGS  29-33
2015,1,1.0,Making false statements related to a pistol or revolver transfer,CGS  29-34(a)
2017,2,1.0,Making false statements related to a pistol or revolver transfer,CGS  29-34(a)
2014,1,1.0,Transferring a pistol or revolver to someone under age 21,CGS  29-34(b)
2015,1,1.0,Transferring a pistol or revolver to someone under age 21,CGS  29-34(b)
2016,2,1.0,Transferring a pistol or revolver to someone under age 21,CGS  29-34(b)
2013,646,1.0,Carrying a pistol without a permit,CGS  29-35(a)
2014,603,1.0,Carrying a pistol without a permit,CGS  29-35(a)
2015,619,1.0,Carrying a pistol without a permit,CGS  29-35(a)
2016,604,1.0,Carrying a pistol without a permit,CGS  29-35(a)
2017,649,1.0,Carrying a pistol without a permit,CGS  29-35(a)
2013,8,1.0,Failing to carry a pistol permit,CGS  29-35(b)
2014,8,1.0,Failing to carry a pistol permit,CGS  29-35(b)
2015,16,1.0,Failing to carry a pistol permit,CGS  29-35(b)
2016,7,1.0,Failing to carry a pistol permit,CGS  29-35(b)
2017,112,1.0,Failing to carry a pistol permit,CGS  29-35(b)
2013,82,1.0,"Altering firearm identification mark, number, or name",CGS  29-36
2014,84,1.0,"Altering firearm identification mark, number, or name",CGS  29-36
2015,96,1.0,"Altering firearm identification mark, number, or name",CGS  29-36
2016,91,1.0,"Altering firearm identification mark, number, or name",CGS  29-36
2017,115,1.0,"Altering firearm identification mark, number, or name",CGS  29-36
2015,1,1.0,Failing to surrender a revoked gun eligibility certificate,CGS  29-36i
2013,8,1.0,Making a false statement related to transferring a firearm other than a pistol or revolver,CGS  29-37e
2014,4,1.0,Making a false statement related to transferring a firearm other than a pistol or revolver,CGS  29-37e
2015,4,1.0,Making a false statement related to transferring a firearm other than a pistol or revolver,CGS  29-37e
2016,6,1.0,Making a false statement related to transferring a firearm other than a pistol or revolver,CGS  29-37e
2017,6,1.0,Making a false statement related to transferring a firearm other than a pistol or revolver,CGS  29-37e
2013,10,1.0,Violating loaded firearm safe storage requirements with respect to minors,CGS  29-37i
2014,12,1.0,Violating loaded firearm safe storage requirements with respect to minors,CGS  29-37i
2015,12,1.0,Violating loaded firearm safe storage requirements with respect to minors,CGS  29-37i
2016,7,1.0,Violating loaded firearm safe storage requirements with respect to minors,CGS  29-37i
2017,13,1.0,Violating loaded firearm safe storage requirements with respect to minors,CGS  29-37i
2014,3,1.0,Purchasing a firearm for transfer to a prohibited person,CGS  29-37j(a)
2015,3,1.0,Purchasing a firearm for transfer to a prohibited person,CGS  29-37j(a)
2016,7,1.0,Purchasing a firearm for transfer to a prohibited person,CGS  29-37j(a)
2017,1,1.0,Purchasing or soliciting purchase of a firearm to transfer to a prohibited person within five years after prior felony conviction,CGS  29-37j(c)
2014,1,1.0,Using a machine gun in a violent crime,CGS  53-202(b)
2015,1,1.0,Using a machine gun in a violent crime,CGS  53-202(b)
2016,1,1.0,Using a machine gun in a violent crime,CGS  53-202(b)
2017,2,1.0,Using a machine gun in a violent crime,CGS  53-202(b)
2013,1,1.0,Using a machine gun for an aggressive purpose or giving one to someone under age 16,CGS  53-202(c)
2014,7,1.0,Using a machine gun for an aggressive purpose or giving one to someone under age 16,CGS  53-202(c)
2015,9,1.0,Using a machine gun for an aggressive purpose or giving one to someone under age 16,CGS  53-202(c)
2016,1,1.0,Using a machine gun for an aggressive purpose or giving one to someone under age 16,CGS  53-202(c)
2017,3,1.0,Using a machine gun for an aggressive purpose or giving one to someone under age 16,CGS  53-202(c)
2013,1,1.0,Manufacturer-failing to keep machine gun register,CGS  53-202(f)
2015,1,1.0,Manufacturer-failing to keep machine gun register,CGS  53-202(f)
2016,1,1.0,Failing to register machine gun adapted to use projectiles of any caliber,CGS  53-202(g)
2013,3,1.0,Illegally transferring an assault weapon,CGS  53-202b(a)(1)
2014,2,1.0,Illegally transferring an assault weapon,CGS  53-202b(a)(1)
2015,22,1.0,Illegally transferring an assault weapon,CGS  53-202b(a)(1)
2016,17,1.0,Illegally transferring an assault weapon,CGS  53-202b(a)(1)
2017,4,1.0,Illegally transferring an assault weapon,CGS  53-202b(a)(1)
2014,1,1.0,"Illegally transferring, selling, or giving an assault weapon to someone under age 18",CGS  53-202b(a)(2)
2013,20,1.0,Illegally possessing an assault weapon1st time violator whose possession was previously legal,CGS  53-202c
2014,19,1.0,Illegally possessing an assault weapon1st time violator whose possession was previously legal,CGS  53-202c
2015,31,1.0,Illegally possessing an assault weapon1st time violator whose possession was previously legal,CGS  53-202c
2016,59,1.0,Illegally possessing an assault weapon1st time violator whose possession was previously legal,CGS  53-202c
2017,32,1.0,Illegally possessing an assault weapon1st time violator whose possession was previously legal,CGS  53-202c
2013,11,1.0,Illegally possessing an assault weapon,CGS  53-202c
2014,11,1.0,Illegally possessing an assault weapon,CGS  53-202c
2015,31,1.0,Illegally possessing an assault weapon,CGS  53-202c
2016,19,1.0,Illegally possessing an assault weapon,CGS  53-202c
2017,15,1.0,Illegally possessing an assault weapon,CGS  53-202c
2013,1,1.0,Illegally transporting an assault weapon,CGS  53-202f
2015,2,1.0,Illegally transporting an assault weapon,CGS  53-202f
2016,4,1.0,Illegally transporting an assault weapon,CGS  53-202f
2017,7,1.0,Illegally transporting an assault weapon,CGS  53-202f
2013,4,1.0,Failing to report a lost or stolen assault weapon,CGS  53-202g
2014,6,1.0,Failing to report a lost or stolen assault weapon,CGS  53-202g
2015,3,1.0,Failing to report a lost or stolen assault weapon,CGS  53-202g
2016,7,1.0,Failing to report a lost or stolen assault weapon,CGS  53-202g
2017,3,1.0,Failing to report a lost or stolen assault weapon,CGS  53-202g
2013,27,1.0,"Using a firearm to commit a class a, b, or c felony",CGS  53-202k
2014,13,1.0,"Using a firearm to commit a class a, b, or c felony",CGS  53-202k
2015,5,1.0,"Using a firearm to commit a class a, b, or c felony",CGS  53-202k
2016,7,1.0,"Using a firearm to commit a class a, b, or c felony",CGS  53-202k
2017,15,1.0,"Using a firearm to commit a class a, b, or c felony",CGS  53-202k
2014,1,1.0,Transferring amor piercing or incendiary ammunition,CGS  53-202l
2017,1,1.0,Transferring amor piercing or incendiary ammunition,CGS  53-202l
2013,13,1.0,Trafficking in firearms,CGS  53-202aa
2014,7,1.0,Trafficking in firearms,CGS  53-202aa
2015,17,1.0,Trafficking in firearms,CGS  53-202aa
2016,16,1.0,Trafficking in firearms,CGS  53-202aa
2017,10,1.0,Trafficking in firearms,CGS  53-202aa
2013,161,1.0,Illegally discharging a firearm,CGS  53-203
2014,196,1.0,Illegally discharging a firearm,CGS  53-203
2015,174,1.0,Illegally discharging a firearm,CGS  53-203
2016,146,1.0,Illegally discharging a firearm,CGS  53-203
2017,170,1.0,Illegally discharging a firearm,CGS  53-203
2013,4,1.0,Hunting or discharging a firearm from a public highway,CGS  53-204
2014,18,1.0,Hunting or discharging a firearm from a public highway,CGS  53-204
2015,11,1.0,Hunting or discharging a firearm from a public highway,CGS  53-204
2016,1,1.0,Hunting or discharging a firearm from a public highway,CGS  53-204
2017,2,1.0,Hunting or discharging a firearm from a public highway,CGS  53-204
2013,16,1.0,"Carrying a loaded shotgun, rifle, or muzzleloader in a vehicle or snowmobile",CGS  53-205
2014,8,1.0,"Carrying a loaded shotgun, rifle, or muzzleloader in a vehicle or snowmobile",CGS  53-205
2015,9,1.0,"Carrying a loaded shotgun, rifle, or muzzleloader in a vehicle or snowmobile",CGS  53-205
2016,7,1.0,"Carrying a loaded shotgun, rifle, or muzzleloader in a vehicle or snowmobile",CGS  53-205
2017,4,1.0,"Carrying a loaded shotgun, rifle, or muzzleloader in a vehicle or snowmobile",CGS  53-205
2013,73,1.0,"Selling, carrying, brandishing a facsimile firearm",CGS  53-206c
2014,86,1.0,"Selling, carrying, brandishing a facsimile firearm",CGS  53-206c
2015,78,1.0,"Selling, carrying, brandishing a facsimile firearm",CGS  53-206c
2016,79,1.0,"Selling, carrying, brandishing a facsimile firearm",CGS  53-206c
2017,71,1.0,"Selling, carrying, brandishing a facsimile firearm",CGS  53-206c
2013,94,1.0,Carrying a loaded firearm under the influence of drugs or alcohol,CGS  53-206d(a)
2014,75,1.0,Carrying a loaded firearm under the influence of drugs or alcohol,CGS  53-206d(a)
2015,92,1.0,Carrying a loaded firearm under the influence of drugs or alcohol,CGS  53-206d(a)
2016,82,1.0,Carrying a loaded firearm under the influence of drugs or alcohol,CGS  53-206d(a)
2017,91,1.0,Carrying a loaded firearm under the influence of drugs or alcohol,CGS  53-206d(a)
2013,14,1.0,1st degree manslaughter with a firearm,CGS  53a-55a
2014,14,1.0,1st degree manslaughter with a firearm,CGS  53a-55a
2015,23,1.0,1st degree manslaughter with a firearm,CGS  53a-55a
2016,29,1.0,1st degree manslaughter with a firearm,CGS  53a-55a
2017,17,1.0,1st degree manslaughter with a firearm,CGS  53a-55a
2013,2,1.0,2nd degree manslaughter with a firearm,CGS  53a-56a
2014,2,1.0,2nd degree manslaughter with a firearm,CGS  53a-56a
