Year,Charges,Convictions,Not Guilty,Nolle,Offense,Table
2008,7,0,0,7,VIOLATING PISTOL PERMITTING REQUIREMENTS (CGS § 29-28),1
2009,1,0,0,1,VIOLATING PISTOL PERMITTING REQUIREMENTS (CGS § 29-28),1
2010,10,3,0,7,VIOLATING PISTOL PERMITTING REQUIREMENTS (CGS § 29-28),1
2011,8,1,0,7,VIOLATING PISTOL PERMITTING REQUIREMENTS (CGS § 29-28),1
2012,5,0,0,5,VIOLATING PISTOL PERMITTING REQUIREMENTS (CGS § 29-28),1
2008,2,1,0,1,FAILING TO SURRENDER REVOKED PERMIT TO CARRY A PISTOL OR REVOLVER (CGS § 29-32),1
2009,1,0,0,1,FAILING TO SURRENDER REVOKED PERMIT TO CARRY A PISTOL OR REVOLVER (CGS § 29-32),1
2010,1,1,0,0,FAILING TO SURRENDER REVOKED PERMIT TO CARRY A PISTOL OR REVOLVER (CGS § 29-32),1
2008,107,34,0,73,ILLEGALLY TRANSFERRING A PISTOL OR REVOLVER (CGS § 29-33),1
2009,71,24,0,47,ILLEGALLY TRANSFERRING A PISTOL OR REVOLVER (CGS § 29-33),1
2010,99,42,0,57,ILLEGALLY TRANSFERRING A PISTOL OR REVOLVER (CGS § 29-33),1
2011,206,38,0,168,ILLEGALLY TRANSFERRING A PISTOL OR REVOLVER (CGS § 29-33),1
2012,60,22,0,38,ILLEGALLY TRANSFERRING A PISTOL OR REVOLVER (CGS § 29-33),1
2008,1,0,0,1,MAKING FALSE STATEMENTS RELATED TO A PISTOL OR REVOLVER TRANSFER (CGS § 29-34(a)),1
2009,1,0,0,1,MAKING FALSE STATEMENTS RELATED TO A PISTOL OR REVOLVER TRANSFER (CGS § 29-34(a)),1
2012,2,0,0,2,MAKING FALSE STATEMENTS RELATED TO A PISTOL OR REVOLVER TRANSFER (CGS § 29-34(a)),1
2008,7,1,0,6,TRANSFERRING A PISTOL OR REVOLVER TO SOMEONE UNDER AGE 21 (CGS § 29-34(b)),1
2011,1,0,0,1,TRANSFERRING A PISTOL OR REVOLVER TO SOMEONE UNDER AGE 21 (CGS § 29-34(b)),1
2012,2,0,0,2,TRANSFERRING A PISTOL OR REVOLVER TO SOMEONE UNDER AGE 21 (CGS § 29-34(b)),1
2008,681,312,3,366,CARRYING A PISTOL WITHOUT A PERMIT (CGS § 29-35(a)),1
2009,649,344,5,300,CARRYING A PISTOL WITHOUT A PERMIT (CGS § 29-35(a)),1
2010,675,327,6,342,CARRYING A PISTOL WITHOUT A PERMIT (CGS § 29-35(a)),1
2011,655,307,3,345,CARRYING A PISTOL WITHOUT A PERMIT (CGS § 29-35(a)),1
2012,652,306,6,340,CARRYING A PISTOL WITHOUT A PERMIT (CGS § 29-35(a)),1
2008,7,1*,0,5,FAILING TO CARRY A PISTOL PERMIT (CGS § 29-35(b)),1
2009,9,3,0,6,FAILING TO CARRY A PISTOL PERMIT (CGS § 29-35(b)),1
2010,12,3*,0,8,FAILING TO CARRY A PISTOL PERMIT (CGS § 29-35(b)),1
2011,9,2,0,7,FAILING TO CARRY A PISTOL PERMIT (CGS § 29-35(b)),1
2012,8,2,0,6,FAILING TO CARRY A PISTOL PERMIT (CGS § 29-35(b)),1
2008,103,21,0,82,"ALTERING FIREARM IDENTIFICATION MARK, NUMBER, OR NAME (CGS § 29-36)",1
2009,102,19,0,83,"ALTERING FIREARM IDENTIFICATION MARK, NUMBER, OR NAME (CGS § 29-36)",1
2010,90,20,0,70,"ALTERING FIREARM IDENTIFICATION MARK, NUMBER, OR NAME (CGS § 29-36)",1
2011,110,13,0,97,"ALTERING FIREARM IDENTIFICATION MARK, NUMBER, OR NAME (CGS § 29-36)",1
2012,78,15,0,63,"ALTERING FIREARM IDENTIFICATION MARK, NUMBER, OR NAME (CGS § 29-36)",1
2009,1,1,0,0,FAILING TO SURRENDER A REVOKED GUN ELIGIBILITY CERTIFICATE (CGS § 29-36i),1
2010,3,3,0,0,FAILING TO SURRENDER A REVOKED GUN ELIGIBILITY CERTIFICATE (CGS § 29-36i),1
2008,4,0,0,4,FAILING TO TRANSFER OR SURRENDER A FIREARM—PERSON INELIGIBILE TO POSSESS FIREARMS (CGS § 29-36k),1
2009,1,0,0,1,FAILING TO TRANSFER OR SURRENDER A FIREARM—PERSON INELIGIBILE TO POSSESS FIREARMS (CGS § 29-36k),1
2010,2,1,0,1,FAILING TO TRANSFER OR SURRENDER A FIREARM—PERSON INELIGIBILE TO POSSESS FIREARMS (CGS § 29-36k),1
2012,1,0,0,1,FAILING TO TRANSFER OR SURRENDER A FIREARM—PERSON INELIGIBILE TO POSSESS FIREARMS (CGS § 29-36k),1
2008,1,0,0,1,RETAILERS—FAILING TO PROVIDE GUN LOCKING DEVICES (CGS § 29-37b),1
2009,1,0,0,1,RETAILERS—FAILING TO PROVIDE GUN LOCKING DEVICES (CGS § 29-37b),1
2010,3,0,0,3,RETAILERS—FAILING TO PROVIDE GUN LOCKING DEVICES (CGS § 29-37b),1
2011,2,0,0,2,RETAILERS—FAILING TO PROVIDE GUN LOCKING DEVICES (CGS § 29-37b),1
2012,1,0,0,1,RETAILERS—FAILING TO PROVIDE GUN LOCKING DEVICES (CGS § 29-37b),1
2008,8,5,0,3,MAKING A FALSE STATEMENT RELATED TO TRANSFERRING A FIREARM OTHER THAN A PISTOL OR REVOLVER (CGS § 29-37e),1
2009,22,9,0,13,MAKING A FALSE STATEMENT RELATED TO TRANSFERRING A FIREARM OTHER THAN A PISTOL OR REVOLVER (CGS § 29-37e),1
2010,9,4,0,5,MAKING A FALSE STATEMENT RELATED TO TRANSFERRING A FIREARM OTHER THAN A PISTOL OR REVOLVER (CGS § 29-37e),1
2011,5,1,0,4,MAKING A FALSE STATEMENT RELATED TO TRANSFERRING A FIREARM OTHER THAN A PISTOL OR REVOLVER (CGS § 29-37e),1
2012,6,3,0,3,MAKING A FALSE STATEMENT RELATED TO TRANSFERRING A FIREARM OTHER THAN A PISTOL OR REVOLVER (CGS § 29-37e),1
2008,17,0,0,17,VIOLATING LOADED FIREARM SAFE STORAGE REQUIREMENTS WITH RESPECT TO MINORS (CGS § 29-37i),1
2009,7,0,0,7,VIOLATING LOADED FIREARM SAFE STORAGE REQUIREMENTS WITH RESPECT TO MINORS (CGS § 29-37i),1
2010,26,1,0,25,VIOLATING LOADED FIREARM SAFE STORAGE REQUIREMENTS WITH RESPECT TO MINORS (CGS § 29-37i),1
2011,20,0,0,20,VIOLATING LOADED FIREARM SAFE STORAGE REQUIREMENTS WITH RESPECT TO MINORS (CGS § 29-37i),1
2012,12,0,0,12,VIOLATING LOADED FIREARM SAFE STORAGE REQUIREMENTS WITH RESPECT TO MINORS (CGS § 29-37i),1
2009,8,0,0,8,PURCHASING A FIREARM FOR TRANSFER TO A PROHIBITED PERSON (CGS § 29-37j(a)),1
2010,8,4,0,4,PURCHASING A FIREARM FOR TRANSFER TO A PROHIBITED PERSON (CGS § 29-37j(a)),1
2011,7,0,0,7,PURCHASING A FIREARM FOR TRANSFER TO A PROHIBITED PERSON (CGS § 29-37j(a)),1
2012,3,0,0,3,PURCHASING A FIREARM FOR TRANSFER TO A PROHIBITED PERSON (CGS § 29-37j(a)),1
2008,1,0,0,1,SOLICITING PURCHASE OF A FIREARM TO TRANSFER TO A PROHIBITED PERSON (CGS § 29-37j(b)),1
2012,2,0,0,2,PURCHASING OR SOLICITING PURCHASE OF A FIREARM TO TRANSFER TO A PROHIBITED PERSON WITHIN FIVE YEARS AFTER A PRIOR FELONY CONVICTION (CGS § 29-37j(c)),1
2008,2,0,0,2,USING A MACHINE GUN IN A VIOLENT CRIME (CGS § 53-202(b)),1
2009,1,0,0,1,USING A MACHINE GUN IN A VIOLENT CRIME (CGS § 53-202(b)),1
2012,1,0,0,1,USING A MACHINE GUN IN A VIOLENT CRIME (CGS § 53-202(b)),1
2008*,3,1,1,1,USING A MACHINE GUN FOR AN AGGRESSIVE PURPOSE OR GIVING ONE TO SOMEONE UNDER AGE 16 (CGS § 53-202(c)),1
2010*,5,0,0,5,USING A MACHINE GUN FOR AN AGGRESSIVE PURPOSE OR GIVING ONE TO SOMEONE UNDER AGE 16 (CGS § 53-202(c)),1
