Year,Charges,Convictions,Not Guilty,Nolle,Offense,Table
2013,4,0,0,4,VIOLATING PISTOL PERMITTING REQUIREMENTS (CGS § 29-28),1
2014,3,0,0,3,VIOLATING PISTOL PERMITTING REQUIREMENTS (CGS § 29-28),1
2015,5,2,0,3,VIOLATING PISTOL PERMITTING REQUIREMENTS (CGS § 29-28),1
2016,7,2,0,5,VIOLATING PISTOL PERMITTING REQUIREMENTS (CGS § 29-28),1
2017,7,0,0,7,VIOLATING PISTOL PERMITTING REQUIREMENTS (CGS § 29-28),1
2013,1,0,0,1,FAILING TO SURRENDER REVOKED PERMIT TO CARRY A PISTOL OR REVOLVER (CGS § 29-32),1
2013,100,36,0,64,ILLEGALLY TRANSFERRING A PISTOL OR REVOLVER (CGS § 29-33),1
2014,75,23,0,52,ILLEGALLY TRANSFERRING A PISTOL OR REVOLVER (CGS § 29-33),1
2015,116,57,0,59,ILLEGALLY TRANSFERRING A PISTOL OR REVOLVER (CGS § 29-33),1
2016,77,17,0,60,ILLEGALLY TRANSFERRING A PISTOL OR REVOLVER (CGS § 29-33),1
2017,45,11,0,34,ILLEGALLY TRANSFERRING A PISTOL OR REVOLVER (CGS § 29-33),1
2015,1,0,0,1,MAKING FALSE STATEMENTS RELATED TO A PISTOL OR REVOLVER TRANSFER (CGS § 29-34(a)),1
2017,2,0,0,2,MAKING FALSE STATEMENTS RELATED TO A PISTOL OR REVOLVER TRANSFER (CGS § 29-34(a)),1
2014,1,0,0,1,TRANSFERRING A PISTOL OR REVOLVER TO SOMEONE UNDER AGE 21 (CGS § 29-34(b)),1
2015,1,1,0,0,TRANSFERRING A PISTOL OR REVOLVER TO SOMEONE UNDER AGE 21 (CGS § 29-34(b)),1
2016,2,1,0,1,TRANSFERRING A PISTOL OR REVOLVER TO SOMEONE UNDER AGE 21 (CGS § 29-34(b)),1
2013,646,321,1,324,CARRYING A PISTOL WITHOUT A PERMIT (CGS § 29-35(a)),1
2014,603,334,7,262,CARRYING A PISTOL WITHOUT A PERMIT (CGS § 29-35(a)),1
2015,619,288,3,328,CARRYING A PISTOL WITHOUT A PERMIT (CGS § 29-35(a)),1
2016,604,279,5,320,CARRYING A PISTOL WITHOUT A PERMIT (CGS § 29-35(a)),1
2017,328,166,2,160,CARRYING A PISTOL WITHOUT A PERMIT (CGS § 29-35(a)),1
2013,8,2*,0,5,FAILING TO CARRY A PISTOL PERMIT (CGS § 29-35(b)),1
2014,8,3,0,5,FAILING TO CARRY A PISTOL PERMIT (CGS § 29-35(b)),1
2015,16,4*,0,7,FAILING TO CARRY A PISTOL PERMIT (CGS § 29-35(b)),1
2016,7,0,0,7,FAILING TO CARRY A PISTOL PERMIT (CGS § 29-35(b)),1
2017,4,1,0,3,FAILING TO CARRY A PISTOL PERMIT (CGS § 29-35(b)),1
2013,82,10,1,71,"ALTERING FIREARM IDENTIFICATION MARK, NUMBER, OR NAME (CGS § 29-36)",1
2014,84,13,0,71,"ALTERING FIREARM IDENTIFICATION MARK, NUMBER, OR NAME (CGS § 29-36)",1
2015,96,16,0,80,"ALTERING FIREARM IDENTIFICATION MARK, NUMBER, OR NAME (CGS § 29-36)",1
2016,91,17,0,74,"ALTERING FIREARM IDENTIFICATION MARK, NUMBER, OR NAME (CGS § 29-36)",1
2017,64,12,0,52,"ALTERING FIREARM IDENTIFICATION MARK, NUMBER, OR NAME (CGS § 29-36)",1
2015,1,1,0,0,FAILING TO SURRENDER A REVOKED GUN ELIGIBILITY CERTIFICATE (CGS § 29-36i),1
